CATEGORY*,START*,STOP*,MILES*,PURPOSE*,START_DATE,START_TIME,END_DATE,END_TIME,Weekday,Duration
Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,2016-01-01,21:11:00,2016-01-01,21:17:00,4,6.0
Business,Fort Pierce,Fort Pierce,5.0,Meeting,2016-01-02,01:25:00,2016-01-02,01:37:00,5,12.0
Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,2016-01-02,20:25:00,2016-01-02,20:38:00,5,13.0
Business,Fort Pierce,Fort Pierce,4.7,Meeting,2016-01-05,17:31:00,2016-01-05,17:45:00,1,14.0
Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,2016-01-06,14:42:00,2016-01-06,15:49:00,2,67.0
Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,2016-01-06,17:15:00,2016-01-06,17:19:00,2,4.0
Business,West Palm Beach,Palm Beach,7.1,Meeting,2016-01-06,17:30:00,2016-01-06,17:35:00,2,5.0
Business,Cary,Cary,0.8,Meeting,2016-01-07,13:27:00,2016-01-07,13:33:00,3,6.0
Business,Cary,Morrisville,8.3,Meeting,2016-01-10,08:05:00,2016-01-10,08:25:00,6,20.0
Business,Jamaica,New York,16.5,Customer Visit,2016-01-10,12:17:00,2016-01-10,12:44:00,6,27.0
Business,New York,Queens,10.8,Meeting,2016-01-10,15:08:00,2016-01-10,15:51:00,6,43.0
Business,Elmhurst,New York,7.5,Meeting,2016-01-10,18:18:00,2016-01-10,18:53:00,6,35.0
Business,Midtown,East Harlem,6.2,Meeting,2016-01-10,19:12:00,2016-01-10,19:32:00,6,20.0
Business,East Harlem,NoMad,6.4,Temporary Site,2016-01-11,08:55:00,2016-01-11,09:21:00,0,26.0
Business,Flatiron District,Midtown,1.6,Errand/Supplies,2016-01-11,11:56:00,2016-01-11,12:03:00,0,7.0
Business,Midtown,Midtown East,1.7,Meal/Entertain,2016-01-11,13:32:00,2016-01-11,13:46:00,0,14.0
Business,Midtown East,Midtown,1.9,Meal/Entertain,2016-01-11,14:30:00,2016-01-11,14:43:00,0,13.0
Business,Midtown,Hudson Square,1.9,Meal/Entertain,2016-01-12,12:33:00,2016-01-12,12:49:00,1,16.0
Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain,2016-01-12,12:53:00,2016-01-12,13:09:00,1,16.0
Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,2016-01-12,14:42:00,2016-01-12,14:56:00,1,14.0
Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,2016-01-12,15:13:00,2016-01-12,15:28:00,1,15.0
Business,Hell's Kitchen,Midtown,2.0,Errand/Supplies,2016-01-12,15:42:00,2016-01-12,15:54:00,1,12.0
Business,New York,Queens County,15.1,Meeting,2016-01-12,16:02:00,2016-01-12,17:00:00,1,58.0
Business,Downtown,Gulfton,11.2,Meeting,2016-01-13,13:54:00,2016-01-13,14:07:00,2,13.0
Business,Gulfton,Downtown,11.8,Meeting,2016-01-13,15:00:00,2016-01-13,15:28:00,2,28.0
Business,Houston,Houston,21.9,Customer Visit,2016-01-14,16:29:00,2016-01-14,17:05:00,3,36.0
Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies,2016-01-14,21:39:00,2016-01-14,21:45:00,3,6.0
Business,Morrisville,Cary,8.0,Errand/Supplies,2016-01-15,00:41:00,2016-01-15,01:01:00,4,20.0
Business,Cary,Durham,10.4,Meal/Entertain,2016-01-15,11:43:00,2016-01-15,12:03:00,4,20.0
Business,Durham,Cary,10.4,Meal/Entertain,2016-01-15,13:26:00,2016-01-15,13:44:00,4,18.0
Business,Cary,Cary,4.8,Meal/Entertain,2016-01-18,14:55:00,2016-01-18,15:06:00,0,11.0
Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,2016-01-18,16:13:00,2016-01-18,16:24:00,0,11.0
Business,Whitebridge,Lake Wellingborough,7.2,Meeting,2016-01-19,09:09:00,2016-01-19,09:23:00,1,14.0
Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,2016-01-19,10:55:00,2016-01-19,11:09:00,1,14.0
Business,Cary,Raleigh,17.1,Meeting,2016-01-20,10:36:00,2016-01-20,11:11:00,2,35.0
Business,Fayetteville Street,Umstead,15.1,Meeting,2016-01-20,11:48:00,2016-01-20,12:19:00,2,31.0
Business,Raleigh,Cary,40.2,Customer Visit,2016-01-20,13:25:00,2016-01-20,14:19:00,2,54.0
Business,Cary,Cary,1.6,Errand/Supplies,2016-01-21,14:25:00,2016-01-21,14:29:00,3,4.0
Business,Cary,Cary,2.4,Meal/Entertain,2016-01-21,14:43:00,2016-01-21,14:51:00,3,8.0
Business,Cary,Cary,1.0,Meal/Entertain,2016-01-21,16:01:00,2016-01-21,16:06:00,3,5.0
Business,Whitebridge,Hazelwood,2.0,Meal/Entertain,2016-01-26,10:41:00,2016-01-26,10:50:00,1,9.0
Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,2016-01-26,12:33:00,2016-01-26,12:41:00,1,8.0
Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,2016-01-26,16:24:00,2016-01-26,16:32:00,1,8.0
Business,Cary,Cary,1.4,Errand/Supplies,2016-01-26,17:17:00,2016-01-26,17:22:00,1,5.0
Business,Cary,Cary,0.5,Errand/Supplies,2016-01-26,17:27:00,2016-01-26,17:29:00,1,2.0
Business,Cary,Cary,1.8,Meeting,2016-01-27,09:24:00,2016-01-27,09:31:00,2,7.0
Business,Cary,Raleigh,18.7,Customer Visit,2016-01-27,10:19:00,2016-01-27,10:48:00,2,29.0
Business,Fairmont,Meredith Townes,3.4,Customer Visit,2016-01-27,12:34:00,2016-01-27,12:44:00,2,10.0
Business,Raleigh,Raleigh,2.7,Customer Visit,2016-01-27,14:05:00,2016-01-27,14:13:00,2,8.0
Business,Raleigh,Cary,12.9,Customer Visit,2016-01-27,14:46:00,2016-01-27,15:08:00,2,22.0
Business,Cary,Raleigh,19.0,Temporary Site,2016-01-28,12:28:00,2016-01-28,13:00:00,3,32.0
Business,Meredith Townes,Leesville Hollow,14.7,Meeting,2016-01-28,15:11:00,2016-01-28,15:31:00,3,20.0
Business,Raleigh,Cary,15.7,Meeting,2016-01-28,16:21:00,2016-01-28,16:51:00,3,30.0
Business,Cary,Cary,4.6,Customer Visit,2016-01-29,09:31:00,2016-01-29,09:45:00,4,14.0
Business,Cary,Cary,5.2,Meeting,2016-01-29,10:56:00,2016-01-29,11:07:00,4,11.0
Business,Cary,Durham,10.4,Meeting,2016-01-29,11:43:00,2016-01-29,12:03:00,4,20.0
Business,Durham,Cary,10.1,Meeting,2016-01-29,13:24:00,2016-01-29,13:47:00,4,23.0
Business,Cary,Apex,5.8,Errand/Supplies,2016-01-29,18:31:00,2016-01-29,18:52:00,4,21.0
